Outlet,ReceiptNumber,Date,Time,Category,Items,Quantity,Discounts,NetSales,SalesType,PaymentMethod
Agus Salim,TSBZIO,1/1/2023,10:44:22,Tea,Lemon Tea,1,3600.0,14400.0,Dine In,Cash
Agus Salim,TSBZIP,1/1/2023,10:52:19,Tea,Lychee Tea,1,5200.0,20800.0,Dine In,Cash
Agus Salim,TSBZIP,1/1/2023,10:52:19,Signature Coffee,Kopi Rakyat,1,4000.0,16000.0,Dine In,Cash
Agus Salim,TSBZIR,1/1/2023,11:04:23,Signature Coffee,Kopi Rakyat,3,0.0,78000.0,Take Away,Cash
Agus Salim,TSBZIR,1/1/2023,11:04:23,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Take Away,Cash
Agus Salim,TSBZIT,1/1/2023,11:51:15,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Take Away,Cash
Agus Salim,TSBZIU,1/1/2023,12:13:19,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZIU,1/1/2023,12:13:19,Espresso Based,Vanilla Latte,1,0.0,28000.0,Dine In,Gopay
Agus Salim,TSBZIV,1/1/2023,12:14:41,Signature Coffee,Kopi Rakyat,2,0.0,40000.0,Dine In,Gopay
Agus Salim,TSBZIW,1/1/2023,12:51:47,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZIW,1/1/2023,12:51:47,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZIX,1/1/2023,12:56:46,Chocolate,Choco Origin,1,0.0,25000.0,Dine In,BCA
Agus Salim,TSBZIX,1/1/2023,12:56:46,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,BCA
Agus Salim,TSBZIY,1/1/2023,12:58:25,Milk Based,Red Velvet Latte,1,0.0,28000.0,Dine In,Cash
Agus Salim,TSBZJ0,1/1/2023,13:04:59,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZJ0,1/1/2023,13:04:59,Signature Coffee,Kopi Sultan,1,0.0,32000.0,Dine In,Gopay
Agus Salim,TSBZJ1,1/1/2023,13:06:21,Tea,Lychee Tea,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZJ2,1/1/2023,13:07:59,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZJ3,1/1/2023,13:11:23,Milk Based,Raspberry Milk,1,0.0,25000.0,Dine In,Gopay
Agus Salim,TSBZJ3,1/1/2023,13:11:23,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZJ5,1/1/2023,13:19:22,GoFood ,Kopi Dewan ,2,0.0,48000.0,Dine In,GoFood
Agus Salim,TSBZJ6,1/1/2023,13:24:56,Chocolate,Choco Origin,1,5000.0,20000.0,Dine In,Cash
Agus Salim,TSBZJ6,1/1/2023,13:24:56,Tea,Lemon Tea,1,3600.0,14400.0,Dine In,Cash
Agus Salim,TSBZJ6,1/1/2023,13:24:56,Dimsum,Dimsum Mentai,1,6000.0,24000.0,Dine In,Cash
Agus Salim,TSBZJ7,1/1/2023,13:26:21,Espresso Based,Black Coffee,1,0.0,22000.0,Dine In,BCA
